Team,League,player,Substitution,xG Per Avg Match,Shots,OnTarget,Shots Per Avg Match,On Target Per Avg Match,value,nationality,position,squad,goals,goals_per_shot,passes_completed,assisted_shots,passes_blocked,touches,height,assists,games_starts,minutes
0,MLS,Robert Beric,1,0.46,62,28,2.86,1.29,2400000,si SVN,"FW,MF",Saint-Ž?ƒ?øtienne,1,0.14,46,3,5,115,188,0,4,413
1,La Liga,Karim Benzema,0,0.63,27,12,3.46,1.54,32000000,fr FRA,FW,Real Madrid,21,0.14,1119,61,36,1688,184,8,36,3141
2,La Liga,Carlos Soler,1,0.53,8,5,1.27,0.79,40000000,es ESP,MF,Valencia,2,0.11,582,12,26,932,180,0,24,2066
3,La Liga,Cristian Tello,4,0.29,22,8,3.32,1.21,4000000,es ESP,"MF,FW",Betis,2,0.11,285,7,16,453,178,0,5,787
4,La Liga,Mikel Oyarzabal,2,0.88,31,16,4,2.07,48000000,es ESP,"FW,MF",Real Sociedad,10,0.11,828,53,88,1571,181,11,36,3051
5,La Liga,Esteban Burgos,1,0.46,5,4,0.81,0.65,72500,ar ARG,DF,Eibar,1,0.5,244,1,3,515,191,0,11,1119
6,La Liga,Lucas Perez,2,0.65,13,6,1.94,0.89,12000000,es ESP,FW,AlavŽ???s,11,0.14,448,60,28,938,180,5,29,2496
7,La Liga,Lionel Messi,1,0.63,39,19,4.5,2.19,112000000,ar ARG,"FW,MF",Barcelona,25,0.13,1700,86,62,2614,170,21,32,2880
8,La Liga,Federico Valverde,2,0.19,9,5,1.51,0.84,54000000,uy URU,MF,Real Madrid,2,0.09,985,19,18,1316,182,5,21,1907
9,La Liga,Antoine Griezmann,1,0.55,18,8,2.7,1.2,96000000,fr FRA,FW,Barcelona,9,0.16,935,33,49,1408,176,4,31,2549
10,La Liga,Iago Aspas,0,0.44,21,12,1.89,1.08,16000000,es ESP,FW,Celta Vigo,14,0.12,998,54,63,1676,176,3,37,3262
11,La Liga,Ansu Fati,1,0.38,14,7,2.95,1.47,80000000,es ESP,"FW,DF",Barcelona,7,0.21,446,17,13,724,178,1,11,1027
12,La Liga,Gerard Moreno,0,0.74,29,11,3.35,1.27,16000000,es ESP,"FW,MF",Villarreal,18,0.2,743,50,48,1447,180,5,33,2744
13,Serie A,Roberto Soriano,0,0.27,18,7,2.01,0.78,6000000,it ITA,MF,Bologna,5,0.14,1031,54,34,1484,182,5,29,2469
14,Serie A,Francesco Caputo,0,0.59,18,9,3.02,1.51,5000000,it ITA,FW,Sassuolo,21,0.26,635,49,21,1087,181,7,33,2931
15,Serie A,Andrea Belotti,0,0.44,24,11,3.02,1.39,32000000,it ITA,FW,Torino,16,0.09,502,37,66,1234,181,3,34,3008
16,Serie A,Gaetano Castrovilli,0,0.18,11,7,1.38,0.88,20000000,it ITA,MF,Fiorentina,3,0.06,922,35,41,1609,187,2,31,2673
